,img_filepath,img_size,bbox_tl_x,bbox_tl_y,bbox_br_x,bbox_br_y
29,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000022_r.jpg,"(576, 720, 3)",311,356,368,289
30,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000023_l.jpg,"(576, 720, 3)",356,473,403,388
31,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000023_r.jpg,"(576, 720, 3)",290,258,338,210
32,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000024_l.jpg,"(576, 720, 3)",403,306,432,245
33,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000024_r.jpg,"(576, 720, 3)",285,301,310,236
34,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000025_l.jpg,"(576, 720, 3)",385,387,419,339
35,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000025_r.jpg,"(576, 720, 3)",285,390,324,329
36,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000026_l.jpg,"(576, 720, 3)",339,233,400,133
37,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000026_r.jpg,"(576, 720, 3)",270,231,340,141
38,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000027_l.jpg,"(576, 720, 3)",339,238,410,152
39,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000027_r.jpg,"(576, 720, 3)",237,237,311,165
40,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000028_l.jpg,"(576, 720, 3)",342,253,407,168
41,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000028_r.jpg,"(576, 720, 3)",236,259,307,181
42,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000029_l.jpg,"(576, 720, 3)",331,402,403,361
43,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000029_r.jpg,"(576, 720, 3)",324,288,386,224
44,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000030_l.jpg,"(576, 720, 3)",348,302,440,219
45,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000030_r.jpg,"(576, 720, 3)",237,316,302,259
46,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000031_l.jpg,"(576, 720, 3)",410,349,449,277
47,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000031_r.jpg,"(576, 720, 3)",314,394,360,319
48,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000040_l.jpg,"(576, 720, 3)",454,199,525,161
49,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000040_r.jpg,"(576, 720, 3)",192,316,259,248
50,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000041_l.jpg,"(576, 720, 3)",288,257,335,166
51,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000041_r.jpg,"(576, 720, 3)",252,347,300,285
52,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000042_l.jpg,"(576, 720, 3)",259,306,328,225
53,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000042_r.jpg,"(576, 720, 3)",217,302,290,228
54,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000043_l.jpg,"(576, 720, 3)",435,287,511,185
55,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000043_r.jpg,"(576, 720, 3)",191,272,243,184
56,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000044_l.jpg,"(576, 720, 3)",395,303,462,213
57,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000044_r.jpg,"(576, 720, 3)",196,310,259,226
58,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000045_l.jpg,"(576, 720, 3)",356,346,424,278
59,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000045_r.jpg,"(576, 720, 3)",190,365,262,294
60,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000046_l.jpg,"(576, 720, 3)",347,339,418,268
61,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000046_r.jpg,"(576, 720, 3)",191,363,264,286
62,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000047_l.jpg,"(576, 720, 3)",382,304,465,239
63,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000047_r.jpg,"(576, 720, 3)",285,412,377,348
64,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000053_l.jpg,"(576, 720, 3)",370,288,425,234
65,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000053_r.jpg,"(576, 720, 3)",317,398,392,368
66,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000055_l.jpg,"(576, 720, 3)",336,319,414,276
67,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000055_r.jpg,"(576, 720, 3)",321,412,392,344
68,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000056_l.jpg,"(576, 720, 3)",322,346,418,273
69,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000056_r.jpg,"(576, 720, 3)",304,461,378,382
70,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000061_l.jpg,"(576, 720, 3)",405,286,447,210
71,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000061_r.jpg,"(576, 720, 3)",280,502,371,452
72,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000062_l.jpg,"(576, 720, 3)",313,325,372,282
73,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000062_r.jpg,"(576, 720, 3)",225,453,300,409
74,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000063_l.jpg,"(576, 720, 3)",299,337,362,287
75,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000063_r.jpg,"(576, 720, 3)",253,367,306,327
76,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000065_l.jpg,"(576, 720, 3)",289,286,370,238
77,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000065_r.jpg,"(576, 720, 3)",278,376,331,309
78,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000067_l.jpg,"(576, 720, 3)",460,256,504,191
79,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000067_r.jpg,"(576, 720, 3)",417,357,513,322
80,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000068_l.jpg,"(576, 720, 3)",478,310,526,231
81,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000068_r.jpg,"(576, 720, 3)",419,363,512,334
82,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000070_l.jpg,"(576, 720, 3)",309,267,350,201
83,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000070_r.jpg,"(576, 720, 3)",165,412,229,373
84,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000071_l.jpg,"(576, 720, 3)",208,337,294,282
85,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000071_r.jpg,"(576, 720, 3)",141,366,203,334
86,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000072_l.jpg,"(576, 720, 3)",307,309,388,261
87,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000072_r.jpg,"(576, 720, 3)",228,327,302,301
88,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000073_l.jpg,"(576, 720, 3)",333,301,406,262
89,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000073_r.jpg,"(576, 720, 3)",272,383,345,344
90,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000074_l.jpg,"(576, 720, 3)",357,216,407,138
91,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000074_r.jpg,"(576, 720, 3)",295,348,370,326
92,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000075_l.jpg,"(576, 720, 3)",396,286,442,241
93,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000075_r.jpg,"(576, 720, 3)",297,357,373,325
94,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000082_l.jpg,"(576, 720, 3)",339,225,380,168
95,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000082_r.jpg,"(576, 720, 3)",280,222,324,164
96,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000085_l.jpg,"(576, 720, 3)",341,336,395,291
97,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000085_r.jpg,"(576, 720, 3)",258,528,314,457
98,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000086_l.jpg,"(576, 720, 3)",460,313,525,268
99,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000086_r.jpg,"(576, 720, 3)",270,553,345,481
100,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000087_l.jpg,"(576, 720, 3)",442,328,479,257
101,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000087_r.jpg,"(576, 720, 3)",255,545,322,467
102,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000088_l.jpg,"(576, 720, 3)",442,355,492,293
103,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000088_r.jpg,"(576, 720, 3)",236,550,300,471
104,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000090_l.jpg,"(576, 720, 3)",392,352,432,281
105,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000090_r.jpg,"(576, 720, 3)",369,361,457,344
106,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000093_l.jpg,"(576, 720, 3)",446,337,504,291
107,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000093_r.jpg,"(576, 720, 3)",236,558,286,485
108,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000094_l.jpg,"(576, 720, 3)",476,362,546,324
109,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000094_r.jpg,"(576, 720, 3)",193,543,239,463
110,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000095_l.jpg,"(576, 720, 3)",335,328,401,266
111,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000095_r.jpg,"(576, 720, 3)",232,544,279,472
112,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000096_l.jpg,"(576, 720, 3)",314,337,349,234
113,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000096_r.jpg,"(576, 720, 3)",240,549,285,462
114,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000098_l.jpg,"(576, 720, 3)",368,358,404,286
115,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000098_r.jpg,"(576, 720, 3)",260,344,314,288
116,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000099_l.jpg,"(576, 720, 3)",325,331,351,237
117,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000099_r.jpg,"(576, 720, 3)",266,463,315,409
118,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000100_l.jpg,"(576, 720, 3)",362,322,409,263
119,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000100_r.jpg,"(576, 720, 3)",253,445,306,396
120,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000101_l.jpg,"(576, 720, 3)",385,424,452,348
121,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000101_r.jpg,"(576, 720, 3)",207,413,271,335
122,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000103_l.jpg,"(576, 720, 3)",383,360,426,308
123,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000103_r.jpg,"(576, 720, 3)",169,365,230,313
124,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000104_l.jpg,"(576, 720, 3)",367,352,412,277
125,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000104_r.jpg,"(576, 720, 3)",235,351,295,284
126,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000105_l.jpg,"(576, 720, 3)",340,455,408,394
127,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000105_r.jpg,"(576, 720, 3)",250,515,313,447
128,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000106_l.jpg,"(576, 720, 3)",344,439,403,389
129,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000106_r.jpg,"(576, 720, 3)",242,513,307,446
130,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000107_l.jpg,"(576, 720, 3)",354,391,410,322
131,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000107_r.jpg,"(576, 720, 3)",227,493,304,438
132,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000108_l.jpg,"(576, 720, 3)",401,377,477,333
133,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000108_r.jpg,"(576, 720, 3)",177,496,257,463
134,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000111_l.jpg,"(576, 720, 3)",335,277,389,253
135,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_a_visit_to_the_cafe.flv_000111_r.jpg,"(576, 720, 3)",309,283,386,249
136,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000004_l.jpg,"(576, 720, 3)",487,237,582,134
137,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000004_r.jpg,"(576, 720, 3)",256,304,320,193
138,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000005_l.jpg,"(576, 720, 3)",376,354,457,289
139,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000005_r.jpg,"(576, 720, 3)",307,378,369,286
140,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000006_l.jpg,"(576, 720, 3)",324,394,430,345
141,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000006_r.jpg,"(576, 720, 3)",393,511,483,427
142,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000008_l.jpg,"(576, 720, 3)",379,371,466,324
143,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000008_r.jpg,"(576, 720, 3)",366,547,440,474
144,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000009_l.jpg,"(576, 720, 3)",439,388,515,304
145,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000009_r.jpg,"(576, 720, 3)",293,435,381,349
146,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000010_l.jpg,"(576, 720, 3)",404,388,487,300
147,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000010_r.jpg,"(576, 720, 3)",276,412,354,335
148,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000011_l.jpg,"(576, 720, 3)",452,414,508,373
149,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000011_r.jpg,"(576, 720, 3)",269,425,383,379
150,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000012_l.jpg,"(576, 720, 3)",410,273,464,212
151,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000012_r.jpg,"(576, 720, 3)",291,279,377,226
152,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000013_l.jpg,"(576, 720, 3)",496,320,549,203
153,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000013_r.jpg,"(576, 720, 3)",282,341,316,208
154,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000014_l.jpg,"(576, 720, 3)",422,382,499,336
155,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000014_r.jpg,"(576, 720, 3)",253,412,348,372
156,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000015_l.jpg,"(576, 720, 3)",336,436,406,387
157,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000015_r.jpg,"(576, 720, 3)",318,380,437,338
158,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000016_l.jpg,"(576, 720, 3)",461,323,540,218
159,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000016_r.jpg,"(576, 720, 3)",344,332,436,245
160,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000017_r.jpg,"(576, 720, 3)",338,280,420,205
161,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000018_l.jpg,"(576, 720, 3)",470,300,554,190
162,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000018_r.jpg,"(576, 720, 3)",134,309,233,200
163,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000019_l.jpg,"(576, 720, 3)",446,347,516,269
164,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000019_r.jpg,"(576, 720, 3)",277,414,355,329
165,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000020_l.jpg,"(576, 720, 3)",420,388,499,303
166,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000020_r.jpg,"(576, 720, 3)",263,380,335,299
167,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000025_l.jpg,"(576, 720, 3)",422,412,471,294
168,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000025_r.jpg,"(576, 720, 3)",328,416,378,308
169,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000026_l.jpg,"(576, 720, 3)",357,497,435,439
170,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000026_r.jpg,"(576, 720, 3)",321,503,424,433
171,/Users/saniyakarwa/Documents/classes/lexicam/dataset/train/Alexander_mouse_cat_rooster.flv_000028_l.jpg,"(576, 720, 3)",370,393,457,342
